NAME ,AVG_PROF_RATING
STANFORD,3.97
HARVEY MUDD,4.07
CARNEGIE MELLON,3.77
UNIVERSITY OF CALIFORNIA- BERKELEY,3.81
PRINCETON,4.04
DARTMOUTH,4.4
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,3.94
HARVARD,3.95
YALE,3.85
COLUMBIA,3.9
DUKE,3.82
BROWN,3.93
UNIVERSITY OF PENNSYLVANIA,4.1
UNIVERISTY OF WASHINGTON-SEATTLE,4
UNITED STATES NAVAL ACADEMY,3.85
CORNELL ,3.8
RICE,3.85
UNIVERSITY OF VIRGINIA,3.84
UNIVERSITY OF CALIFORNIA- SANTA BARBARA,3.78
WORCESTER POLYTECHNIC INSTITUTE,3.49
CUNY HUNTER COLLEGE,3.8
JOHNS HOPKINS,3.67
UNIVERSITY OF CALIFORNIA- SANTA CRUZ,3.72
LEHIGH,3.69
UNIVERSITY OF CALIFORNIA-SAN DIEGO,3.66
CALIFORNIA POLYTECHNIC STATE UNIVERSITY- SAN LUIS OBISPO,3.8
SANTA CLARA UNIVERSITY,3.62
UNIVERSITY OF NOTRE DAME,3.93
BRANDEIS ,3.77
CASE WESTERN RESERVE,3.72
UNIVERSITY OF CALIFORNIA-IRVINE,3.75
UNITED STATES MILITARY ACADEMY,4.19
VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,3.75
STONY BROOK,3.76
BOSTON COLLEGE,4
TUFTS UNIVERSITY,3.81
SAN JOSE STATE UNIVERSITY,3.75
UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,3.69
STEVENS INSTITUTE OF TECHNOLOGY,3.56
GEORGIA INSTITUTE OF TECHNOLOGY,3.63
RENSSELAER POLYTECHNIC INSTITUTE,3.57
NEW YORK UNIVERSITY,3.79
TRINITY COLLEGE,3.76
UNIVERSITY OF CALIFORNIA-DAVIS,3.75
JAMES MADISON UNIVERSITY,3.81
SEATTLE UNIVERSITY,3.68
BOSTON UNIVERSITY,3.73
UNIVERSITY OF MASSACHUSETTS-AMHERST,3.7
WAKE FOREST UNIVERSITY,3.94
FORDHAM UNIVERSITY,3.74
NORTHWESTERN UNIVERSITY,3.78
COLORADO SCHOOL OF MINES,3.56
RUTGERS UNIVERSITY-NEW BRUNSWICK,3.75
UNIVERSITY OF SOUTHERN CALIFORNIA,3.79
COLLEGE OF WILLIAM AND MARY ,3.8
