,rank,school
0,1,Massachusetts Institute of Technology (MIT)
1,2,Stanford University
2,3,Carnegie Mellon University
3,4,"University of California, Berkeley (UCB)"
4,7,Harvard University
5,11,Princeton University
6,15,"University of California, Los Angeles (UCLA)"
7,18,University of Washington
8,=19,Columbia University
9,=19,Cornell University
10,=19,New York University (NYU)
11,27,Georgia Institute of Technology
12,29,California Institute of Technology (Caltech)
13,31,University of Texas at Austin
14,33,University of Illinois at Urbana-Champaign
15,35,University of Pennsylvania
16,44,University of Southern California
17,46,Yale University
18,47,University of Chicago
19,=48,University of Michigan-Ann Arbor
20,50,"University of Maryland, College Park"
21,51-100,Boston University
22,51-100,Duke University
23,51-100,Johns Hopkins University
24,51-100,Purdue University
25,51-100,"University of California, San Diego (UCSD)"
26,51-100,University of Wisconsin-Madison
27,101-150,Michigan State University
28,101-150,Pennsylvania State University
29,101-150,"University of California, Irvine"
30,101-150,University of Massachusetts Amherst
31,101-150,"University of North Carolina, Chapel Hill"
32,151-200,Brown University
33,151-200,Northeastern University
34,151-200,Northwestern University
35,151-200,The Ohio State University
36,151-200,Rice University
37,151-200,Rutgers University New Brunswick
38,151-200,"Stony Brook University, State University of New York"
39,151-200,Texas A&M University
40,151-200,"University of California, Santa Barbara (UCSB)"
41,151-200,University of Pittsburgh
42,151-200,University of Virginia
43,201-250,Arizona State University
44,201-250,Indiana University Bloomington
45,201-250,North Carolina State University
46,201-250,"University of California, Davis"
47,201-250,University of Florida
48,201-250,University of Illinois at Chicago (UIC)
49,201-250,University of Notre Dame
50,201-250,Virginia Polytechnic Institute and State University
51,251-300,George Mason University
52,251-300,The University of Arizona
53,251-300,University of Colorado Boulder
54,251-300,University of Minnesota Twin Cities
55,251-300,University of Texas Dallas
56,251-300,Washington State University
57,251-300,Washington University in St. Louis
58,301-350,Florida State University
59,301-350,George Washington University
60,301-350,University of Rochester
61,351-400,Dartmouth College
62,351-400,Georgia State University
63,351-400,Illinois Institute of Technology
64,351-400,Rensselaer Polytechnic Institute
65,351-400,Syracuse University
66,351-400,University at Buffalo SUNY
67,351-400,University of Central Florida
68,351-400,University of Miami
69,351-400,University of Utah
70,351-400,Vanderbilt University
71,401-450,Iowa State University
72,401-450,University of South Florida
73,401-450,"The University of Tennessee, Knoxville"
74,451-500,Case Western Reserve University
75,451-500,City University of New York
76,451-500,William & Mary
77,451-500,Florida International University
78,451-500,Georgetown University
79,451-500,Temple University
80,451-500,The University of Georgia
81,451-500,Tufts University
82,451-500,The University of Alabama
83,451-500,"University of California, Santa Cruz"
84,451-500,University of South Carolina
85,451-500,Wayne State University
86,501-550,Colorado State University
87,501-550,Drexel University
88,501-550,Emory University
89,501-550,Michigan Technological University
90,501-550,New Jersey Institute of Technology (NJIT)
91,501-550,"University of California, Riverside"
92,501-550,University of Connecticut
93,501-550,University of Houston
94,501-550,"University of Maryland, Baltimore County"
95,501-550,University of Texas at San Antonio
96,551-600,Binghamton University SUNY
97,551-600,Clemson University
98,551-600,Oregon State University
99,551-600,Texas Tech University
100,551-600,"University of Missouri, Columbia"
101,551-600,University of Nebraska - Lincoln
102,551-600,University of Oregon
103,551-600,University of Texas Arlington
