,school,early_pay,mid_pay
0,Stanford University,"107,400","174,800"
1,Harvey Mudd College,"100,500","172,800"
2,Carnegie Mellon University,"99,000","167,200"
3,University of California-Berkeley,"105,700","166,500"
4,Princeton University,"101,300","162,500"
5,Dartmouth College,"101,800","162,500"
6,Massachusetts Institute of Technology,"99,800","162,200"
7,Harvard University,"96,100","161,900"
8,Yale University,"104,200","161,600"
9,Columbia University in the City of New York,"93,500","161,200"
10,Duke University,"89,000","161,000"
11,Brown University,"98,900","159,900"
12,University of Pennsylvania,"98,900","158,200"
13,University of Washington-Seattle Campus,"84,300","155,400"
14,United States Naval Academy,"81,000","154,600"
15,Cornell University,"92,400","153,700"
16,Rice University,"90,800","151,300"
17,University of Virginia-Main Campus,"84,700","150,500"
18,University of California-Santa Barbara,"84,700","150,500"
19,University of California-Los Angeles,"88,800","149,400"
20,Worcester Polytechnic Institute,"86,300","149,300"
21,CUNY Hunter College,"75,400","148,800"
22,Johns Hopkins University,"88,800","148,800"
23,University of California-Santa Cruz,"85,600","148,300"
24,Lehigh University,"85,200","148,200"
25,University of California-San Diego,"88,400","147,900"
26,California Polytechnic State University-San Luis Obispo,"83,300","147,600"
27,Santa Clara University,"86,700","147,500"
28,University of Notre Dame,"82,700","147,000"
29,Brandeis University,"80,600","146,900"
30,Case Western Reserve University,"75,600","146,700"
31,University of California-Irvine,"79,100","146,500"
32,United States Military Academy,"79,100","144,300"
33,Virginia Polytechnic Institute and State University,"82,100","143,600"
34,Stony Brook University,"76,100","142,500"
35,Boston College,"78,400","142,500"
36,Tufts University,"88,000","141,900"
37,San Jose State University,"83,100","141,500"
38,University of Illinois at Urbana-Champaign,"83,800","141,400"
39,Stevens Institute of Technology,"85,500","141,300"
40,Georgia Institute of Technology-Main Campus,"82,800","141,100"
41,Rensselaer Polytechnic Institute,"84,500","140,900"
42,New York University,"81,100","140,500"
43,Trinity College,"81,200","140,300"
44,University of California-Davis,"91,100","140,200"
45,James Madison University,"76,000","140,100"
46,Seattle University,"88,000","139,200"
47,Boston University,"80,300","139,100"
48,University of Massachusetts-Amherst,"81,500","138,800"
49,Wake Forest University,"75,300","138,700"
50,Fordham University,"68,500","138,600"
51,Northwestern University,"79,900","138,500"
52,Colorado School of Mines,"77,100","138,500"
53,Rutgers University-New Brunswick,"73,300","138,000"
54,University of Southern California,"88,400","138,000"
55,College of William and Mary,"80,700","137,600"
56,George Washington University,"78,400","137,500"
57,University of Delaware,"72,500","136,900"
58,San Diego State University,"68,400","136,300"
59,University of North Carolina at Chapel Hill,"76,700","136,200"
60,San Francisco State University,"74,700","136,200"
61,University of Maryland-College Park,"80,300","136,000"
62,George Mason University,"70,600","135,500"
63,Bucknell University,"78,200","135,500"
64,Binghamton University,"75,100","135,500"
65,University of St Thomas (Minnesota),"70,300","135,200"
66,Pepperdine University,"76,000","135,000"
67,LeTourneau University,"69,100","134,900"
68,University of Rhode Island,"71,800","134,700"
69,Worcester State University,"67,300","134,600"
70,University of Colorado Boulder,"73,800","134,500"
71,New Mexico Institute of Mining and Technology,"74,900","134,300"
72,Loyola University Maryland,"72,400","134,200"
73,United States Air Force Academy,"70,300","134,100"
74,Western Washington University,"78,600","133,900"
75,University of Mary Washington,"73,300","133,600"
76,University of Michigan-Ann Arbor,"81,100","133,500"
77,CUNY Brooklyn College,"67,800","133,400"
